date_utc,rollup_id,rent_paid_eth,rent_paid_wei
2024-02-20,arbitrum,104.691886149,104691886149475171503
2024-02-20,base,45.587420302,45587420302420783740
2024-02-20,optimism,93.202365067,93202365067262366804
2024-02-21,arbitrum,107.503281268,107503281267825185090
2024-02-21,base,54.777905479,54777905479153715892
2024-02-21,optimism,77.490934378,77490934378219011080
2024-02-22,arbitrum,111.464191153,111464191152742599167
2024-02-22,base,49.740457969,49740457968893100836
2024-02-22,optimism,91.247315967,91247315967174450500
2024-02-23,arbitrum,99.333825441,99333825441255821370
2024-02-23,base,41.487769933,41487769932822010020
2024-02-23,optimism,64.746658572,64746658572352478020
2024-02-24,arbitrum,66.460486844,66460486843869068238
2024-02-24,base,37.542384479,37542384478561806688
2024-02-24,optimism,44.741229738,44741229737928484612
2024-02-25,arbitrum,74.419756263,74419756262728417093
2024-02-25,base,44.9543565,44954356500475590952
2024-02-25,optimism,46.868024779,46868024779206274532
2024-02-26,arbitrum,112.534899764,112534899763628764749
2024-02-26,base,46.003390918,46003390917561414588
2024-02-26,optimism,88.417434543,88417434543109375712
2024-02-27,arbitrum,135.11182868,135111828680440326415
2024-02-27,base,57.318431028,57318431027908945276
2024-02-27,optimism,123.166127181,123166127180595596656
2024-02-28,arbitrum,205.806359861,205806359860587886660
2024-02-28,base,71.968106992,71968106992347824440
2024-02-28,optimism,186.60651315,186606513149974986884
2024-02-29,arbitrum,199.017756098,199017756097633288521
2024-02-29,base,87.119727457,87119727457079266296
2024-02-29,optimism,201.682031265,201682031264769539092
2024-03-01,arbitrum,130.299051298,130299051298110480434
2024-03-01,base,58.057532526,58057532526367967448
2024-03-01,optimism,138.703265178,138703265177519460340
2024-03-02,arbitrum,113.102168913,113102168912665574624
2024-03-02,base,55.943766553,55943766552815084968
2024-03-02,optimism,115.577937015,115577937014985129392
2024-03-03,arbitrum,122.86995479,122869954789655807408
2024-03-03,base,59.877407438,59877407438054195076
2024-03-03,optimism,126.069263741,126069263740562017920
2024-03-04,arbitrum,184.909588499,184909588499011432990
2024-03-04,base,83.562468327,83562468326544225312
2024-03-04,optimism,154.970092018,154970092018246185012
2024-03-05,arbitrum,281.753629021,281753629021170004209
2024-03-05,base,115.811453148,115811453148190392704
2024-03-05,optimism,237.196753453,237196753453388333400
2024-03-06,arbitrum,190.404608146,190404608145635733140
2024-03-06,base,103.723166684,103723166683570795420
2024-03-06,optimism,121.638840644,121638840643812413220
2024-03-07,arbitrum,158.879700175,158879700174583735825
2024-03-07,base,90.13636308,90136363080036036768
2024-03-07,optimism,101.942443423,101942443423024882992
2024-03-08,arbitrum,145.317809656,145317809656037038335
2024-03-08,base,70.403269047,70403269046673595272
2024-03-08,optimism,90.954526363,90954526362549291912
2024-03-09,arbitrum,105.400382256,105400382256189005855
2024-03-09,base,62.426958432,62426958432111194712
2024-03-09,optimism,100.378417798,100378417797796697696
2024-03-10,arbitrum,114.787961057,114787961056633761180
2024-03-10,base,70.566275105,70566275105386024104
2024-03-10,optimism,66.460001242,66460001241519196996
2024-03-11,arbitrum,150.049045615,150049045614799054248
2024-03-11,base,80.687620456,80687620456436413132
2024-03-11,optimism,77.937131176,77937131176130138816
2024-03-12,arbitrum,158.271014515,158271014515217591163
2024-03-12,base,71.828773359,71828773359279999132
2024-03-12,optimism,73.530335012,73530335011770341824
2024-03-13,arbitrum,143.402614678,143402614678161065252
2024-03-13,base,77.068638393,77068638393361272596
2024-03-13,optimism,78.965009727,78965009726666503548
2024-03-14,arbitrum,84.302876948,84302876948069359723
2024-03-14,base,1.024509606,1024509605659953000
2024-03-14,optimism,0.280405828,280405828465843896
2024-03-15,arbitrum,4.686528503,4686528503024930765
2024-03-15,base,0.259389699,259389698975122496
2024-03-15,optimism,0.167490408,167490407948381736
